8131
Address, ETHER
('0x09a175a1eD32B58DbBbF8E90F26b304AB5750Ebd', Decimal('5308527.9642287292485868'))
('0x1D244f8B0f8B668c6A89C31850f516bEf470390a', Decimal('1468320.4349403369944036'))
('0xA4191F0bAFB95717FD91FeffB517CD1017A67a14', Decimal('1114081.171278641004636535'))
('0xFA570D31c4d229aD8849cBe80e3dE4996F79ce5C', Decimal('1078428.8360996'))
('0x11905bD0863BA579023f662d1935E39d0C671933', Decimal('659653.937300576468474378'))
('0xCeA88B45E3C36979d291f85D291b192C2889c344', Decimal('550514.4412275475333495'))
('0xF2e9aD41Be2161830921065F38Ce5f9728A7Bfca', Decimal('520936.883897435981015324'))
('0x9ef277273d27845c2cFd43807fbC85fcdF1872Bf', Decimal('514715.397582933'))
('0x63e9ceFD428D37430205c0ab8fa2a34A21F911Ac', Decimal('482689.375'))
('0x2bABef1E997530952fB256e75e2fA5A1c8D02e4D', Decimal('467227.571279382720157'))
('0xD724cf58010dEC654A193e9B1E7b799D4717349b', Decimal('432384.07654184427256544'))
('0xA9F60764c71c895B940F64Ee522dF7e155949725', Decimal('422736.9101725979350473'))
('0x31F0aB45ec7Ced576306a05A2DD6a7b66752268A', Decimal('418868.82704354623678298'))
('0x989e797Ef9185E03ABC30049C69fC1252a39f302', Decimal('417241.224363616565728201'))
('0x903DEc8a0B462C715fDcFea31C2628Ede958829F', Decimal('415325.684147614001993'))
('0x9D5288a254Bd1fdA7DF030D55f5e53B8b962708A', Decimal('410261.179886'))
('0xAA5eE7dE7ef5e236CE60d5Eb072f3939c4D51f66', Decimal('409931.937588215781275'))
('0xe47c8D1D36613fc77D9CC8b1b2B1283868A5C7b8', Decimal('406352.863030539933179'))
('0xB02725D2FA6b6A0b26404794b8a0601b15d00E9f', Decimal('400544.3573742463486446'))
('0x77240ABD8F70cD65b9e030596A241f4850E81f80', Decimal('400064.4345406'))
('0xEEca29dE4e545a5B8d356A8B4999Db7C94F06ea0', Decimal('366108.7377878'))
('0x246b2E1Eaa1Ea5d3b4bE656c19900D54cF5F2bbE', Decimal('354600.652704826355848741'))
('0x224e7ef6739Ffdb0373C59Eb1FD1E15a1E1241a7', Decimal('330822.9617622'))
('0xc140f60D9b4E3ca8ffa1f9373Cb850a6306F8430', Decimal('329384.4168233606468104'))
('0x20fBeA8B18bDa83Ca489Bbb2BA1934aD3551D7e3', Decimal('329108.7788508'))
('0xB4e55ec06Aa593D77B9e0635D693Ff7F4382a0BF', Decimal('328732.623887805'))
('0xDcDfa4DD16264FD2678de1D7c177D4C800cC3702', Decimal('314789.84'))
('0x0666BF13AB1902dE7dEe4f8193C819118D7e21a6', Decimal('300063.266392830191273697'))
('0xD9F9713917e835eFB30d31479D897c2388D76491', Decimal('274545.702920720447027'))
